# frame time_sec x y dx dy
161.000000 5.367263 52.048168 31.383989 1.636644 -0.814463
162.000000 5.400600 53.204551 30.656048 2.793026 -1.542404
163.000000 5.433937 53.204551 30.656048 2.793026 -1.542404
164.000000 5.467274 53.281102 30.545584 2.869577 -1.652868
165.000000 5.500611 52.177727 30.955224 1.766202 -1.243228
166.000000 5.533948 52.177727 30.955224 1.766202 -1.243228
167.000000 5.567285 53.893520 29.999759 3.481995 -2.198693
168.000000 5.600622 53.336622 30.213426 2.925097 -1.985026
169.000000 5.633959 52.226432 31.794768 1.814908 -0.403684
170.000000 5.667296 52.186381 32.275923 1.774856 0.077471
171.000000 5.700633 52.193235 32.271280 1.781710 0.072828
172.000000 5.733970 53.313849 30.543051 2.902325 -1.655401
173.000000 5.767307 53.289352 30.541111 2.877828 -1.657341
174.000000 5.800644 52.692768 31.202826 2.281244 -0.995626
175.000000 5.833981 52.365924 30.999281 1.954399 -1.199171
176.000000 5.867318 52.313996 31.386050 1.902472 -0.812402
177.000000 5.900655 52.545674 30.663774 2.134149 -1.534678
178.000000 5.933993 52.427162 31.888277 2.015638 -0.310175
179.000000 5.967330 52.891077 31.054461 2.479553 -1.143990
180.000000 6.000667 53.418080 30.259816 3.006556 -1.938636
181.000000 6.034004 53.095169 30.695800 2.683644 -1.502652
182.000000 6.067341 52.113186 31.540424 1.701662 -0.658028
183.000000 6.100678 52.007286 31.560337 1.595762 -0.638115
184.000000 6.134015 52.339422 31.051792 1.927898 -1.146660
185.000000 6.167352 52.460200 30.980042 2.048675 -1.218410
186.000000 6.200689 52.548050 31.016249 2.136526 -1.182203
187.000000 6.234026 52.609565 31.402161 2.198041 -0.796291
188.000000 6.267363 52.239717 31.615631 1.828192 -0.582821
189.000000 6.300700 53.607527 29.645650 3.196002 -2.552802
190.000000 6.334037 52.628088 30.416373 2.216563 -1.782079
191.000000 6.367374 53.826173 29.826914 3.414648 -2.371538
192.000000 6.400711 53.341544 30.443865 2.930020 -1.754586
193.000000 6.434048 53.065811 30.844381 2.654287 -1.354071
194.000000 6.467385 52.668292 31.268106 2.256767 -0.930346
195.000000 6.500722 54.034957 30.372228 3.623432 -1.826224
196.000000 6.534059 54.122973 30.034616 3.711448 -2.163836
197.000000 6.567396 53.082350 31.551044 2.670826 -0.647408
198.000000 6.600733 53.485939 30.581506 3.074415 -1.616946
199.000000 6.634070 52.949722 30.285714 2.538198 -1.912738
200.000000 6.667407 53.007260 30.318006 2.595736 -1.880446
201.000000 6.700744 52.491395 31.160326 2.079871 -1.038126
202.000000 6.734081 52.718792 31.208427 2.307268 -0.990025
203.000000 6.767418 53.597926 31.089862 3.186402 -1.108590
204.000000 6.800755 53.201901 31.189679 2.790377 -1.008773
205.000000 6.834093 53.270068 31.676190 2.858544 -0.522261
206.000000 6.867430 52.674817 31.282450 2.263293 -0.916002
207.000000 6.900767 52.834360 31.579512 2.422836 -0.618940
208.000000 6.934104 52.566872 31.478697 2.155347 -0.719755
209.000000 6.967441 52.988506 30.545259 2.576981 -1.653193
210.000000 7.000778 54.172396 29.688582 3.760872 -2.509870
211.000000 7.034115 52.642874 31.045338 2.231349 -1.153114
212.000000 7.067452 52.238217 31.066262 1.826693 -1.132190
213.000000 7.100789 53.449750 29.849500 3.038226 -2.348952
214.000000 7.134126 53.418553 29.807262 3.007028 -2.391190
215.000000 7.167463 52.688943 30.416768 2.277418 -1.781684
216.000000 7.200800 52.452438 30.515210 2.040914 -1.683242
217.000000 7.234137 51.977215 31.020944 1.565691 -1.177508
218.000000 7.267474 51.893587 31.105251 1.482063 -1.093201
219.000000 7.300811 52.388338 30.885269 1.976814 -1.313183
220.000000 7.334148 52.246717 30.927064 1.835192 -1.271388
221.000000 7.367485 51.684885 30.625393 1.273361 -1.573059
222.000000 7.400822 51.707529 30.713562 1.296005 -1.484890
223.000000 7.434159 52.310180 30.546108 1.898655 -1.652344
224.000000 7.467496 51.315988 30.895456 0.904463 -1.302996
225.000000 7.500833 51.527135 30.974280 1.115611 -1.224172
226.000000 7.534170 53.290570 30.037823 2.879045 -2.160629
227.000000 7.567507 52.967642 29.672017 2.556117 -2.526435
228.000000 7.600844 53.542063 29.568254 3.130539 -2.630198
229.000000 7.634181 53.542063 29.568254 3.130539 -2.630198
230.000000 7.667518 53.851678 29.568566 3.440154 -2.629886
231.000000 7.700855 52.891892 30.268566 2.480367 -1.929886
232.000000 7.734192 52.357986 30.229101 1.946462 -1.969351
233.000000 7.767530 52.673233 30.652056 2.261709 -1.546396
234.000000 7.800867 53.865154 29.780908 3.453629 -2.417544
235.000000 7.834204 51.153901 31.284704 0.742376 -0.913748
236.000000 7.867541 51.078046 31.012210 0.666522 -1.186242
237.000000 7.900878 52.861987 30.656160 2.450462 -1.542291
238.000000 7.934215 52.866024 30.578554 2.454500 -1.619898
239.000000 7.967552 52.751591 30.177144 2.340066 -2.021308
240.000000 8.000889 53.081232 30.206264 2.669708 -1.992188
241.000000 8.034226 52.399174 29.468371 1.987649 -2.730081
242.000000 8.067563 52.787855 29.348710 2.376331 -2.849742
243.000000 8.100900 53.416095 29.046966 3.004571 -3.151486
244.000000 8.134237 51.926947 30.878568 1.515423 -1.319884
245.000000 8.167574 54.404030 30.219144 3.992506 -1.979308
246.000000 8.200911 54.414134 29.882979 4.002609 -2.315473
247.000000 8.234248 51.910053 31.335404 1.498529 -0.863048
248.000000 8.267585 51.547697 31.193346 1.136172 -1.005106
249.000000 8.300922 52.122511 31.128602 1.710987 -1.069850
250.000000 8.334259 52.131830 31.511509 1.720305 -0.686943
251.000000 8.367596 52.732205 29.280488 2.320681 -2.917964
252.000000 8.400933 51.510643 30.427410 1.099119 -1.771042
253.000000 8.434270 53.534379 29.365490 3.122855 -2.832962
254.000000 8.467607 53.257930 29.636245 2.846406 -2.562206
255.000000 8.500944 53.257930 29.636245 2.846406 -2.562206
256.000000 8.534281 52.462506 30.064201 2.050982 -2.134251
257.000000 8.567618 51.633149 30.347366 1.221625 -1.851086
258.000000 8.600955 51.751636 30.452629 1.340111 -1.745823
259.000000 8.634292 52.965481 28.999203 2.553956 -3.199249
260.000000 8.667630 52.886857 29.134605 2.475333 -3.063847
261.000000 8.700967 53.012628 29.315959 2.601103 -2.882493
262.000000 8.734304 53.530419 29.457466 3.118894 -2.740986
263.000000 8.767641 53.637968 28.917112 3.226444 -3.281340
264.000000 8.800978 53.632858 29.022451 3.221333 -3.176001
265.000000 8.834315 53.632858 29.022451 3.221333 -3.176001
266.000000 8.867652 54.069717 28.511983 3.658192 -3.686469
267.000000 8.900989 54.045055 28.739560 3.633531 -3.458892
268.000000 8.934326 52.455399 29.576943 2.043875 -2.621509
269.000000 8.967663 52.523093 29.586663 2.111568 -2.611789
270.000000 9.001000 52.956214 30.159453 2.544689 -2.038999
271.000000 9.034337 53.257792 29.508980 2.846267 -2.689471
272.000000 9.067674 54.380539 28.693600 3.969014 -3.504852
273.000000 9.101011 54.327095 28.888857 3.915570 -3.309595
274.000000 9.134348 54.831027 28.017074 4.419503 -4.181378
275.000000 9.167685 54.981829 27.807737 4.570304 -4.390715
276.000000 9.201022 53.014905 29.272900 2.603381 -2.925552
277.000000 9.234359 54.100176 28.664030 3.688651 -3.534421
278.000000 9.267696 53.988545 27.922394 3.577021 -4.276058
279.000000 9.301033 52.731526 29.152047 2.320001 -3.046405
280.000000 9.334370 51.981341 30.375946 1.569817 -1.822506
281.000000 9.367707 51.774659 30.168184 1.363134 -2.030268
282.000000 9.401044 51.723585 30.421132 1.312061 -1.777320
283.000000 9.434381 52.765588 29.647461 2.354064 -2.550991
284.000000 9.467718 52.814499 29.377665 2.402975 -2.820787
285.000000 9.501055 52.524223 30.123223 2.112699 -2.075229
286.000000 9.534392 51.997343 29.898220 1.585818 -2.300232
287.000000 9.567730 54.020303 28.194738 3.608779 -4.003714
288.000000 9.601067 53.106544 28.949162 2.695020 -3.249290
289.000000 9.634404 53.208842 28.449688 2.797317 -3.748764
290.000000 9.667741 53.195346 28.719697 2.783822 -3.478755
